OrderID,Date,Region,Product,Category,Quantity,Price
1151,2024-06-21,North,Tablet,Electronics,2,9935
1152,2024-02-27,West,Mouse,Accessories,4,13616
1153,2024-06-15,North,Laptop,Electronics,3,43456
1154,2024-04-22,North,Monitor,Electronics,4,17812
1155,2024-04-26,South,Mouse,Accessories,2,36895
1156,2024-06-08,North,Keyboard,Accessories,1,38178
1157,2024-03-20,South,Keyboard,Accessories,1,11503
1158,2024-06-12,East,Keyboard,Accessories,3,14343
1159,2024-05-25,East,Laptop,Electronics,1,38913
1160,2024-04-26,South,Laptop,Electronics,2,3830
1161,2024-01-12,South,Laptop,Electronics,4,11523
1162,2024-05-31,West,Mouse,Accessories,1,30203
1163,2024-04-01,West,Phone,Electronics,2,36987
1164,2024-02-29,South,Phone,Electronics,4,27855
1165,2024-02-10,West,Keyboard,Accessories,4,39310
1166,2024-05-24,North,Mouse,Accessories,1,36047
1167,2024-05-20,South,Keyboard,Accessories,3,45945
1168,2024-04-24,West,Phone,Electronics,1,10636
1169,2024-01-10,West,Phone,Electronics,2,24293
1170,2024-04-18,North,Tablet,Electronics,3,1515
1171,2024-04-27,North,Laptop,Electronics,2,8915
1172,2024-01-11,North,Laptop,Electronics,2,4658
1173,2024-03-26,East,Laptop,Electronics,3,21668
1174,2024-06-09,South,Keyboard,Accessories,1,40534
1175,2024-05-28,West,Laptop,Electronics,3,29689
1176,2024-04-04,North,Monitor,Electronics,2,15606
1177,2024-01-23,North,Keyboard,Accessories,1,11416
1178,2024-03-23,North,Phone,Electronics,1,39265
1179,2024-02-20,North,Laptop,Electronics,1,22449
1180,2024-04-22,West,Laptop,Electronics,4,27157
1181,2024-04-04,West,Monitor,Electronics,3,14989
1182,2024-06-10,South,Phone,Electronics,2,29038
1183,2024-01-12,North,Phone,Electronics,2,8927
1184,2024-02-26,North,Keyboard,Accessories,4,19698
1185,2024-03-25,South,Keyboard,Accessories,2,27198
1186,2024-04-12,South,Tablet,Electronics,4,13551
1187,2024-02-07,South,Phone,Electronics,2,8517
1188,2024-03-19,East,Mouse,Accessories,3,10709
1189,2024-06-14,North,Monitor,Electronics,4,42818
1190,2024-01-30,East,Monitor,Electronics,2,43588
1191,2024-01-29,West,Keyboard,Accessories,2,20356
1192,2024-01-17,West,Phone,Electronics,4,37432
1193,2024-01-06,North,Phone,Electronics,2,4800
1194,2024-02-12,West,Mouse,Accessories,3,6754
1195,2024-05-30,East,Laptop,Electronics,4,6738
1196,2024-04-27,West,Tablet,Electronics,4,45915
1197,2024-01-25,East,Monitor,Electronics,4,36534
1198,2024-04-02,West,Tablet,Electronics,2,29232
1199,2024-02-20,East,Phone,Electronics,1,22008
